Id,Label,name,city,country,icao,latitude,longitude,altitude,timezone,dst,tz database time zone,type,source,weighted indegree,weighted outdegree,Weighted Degree,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class,nodecolor-multimode,giantcomponent,pageranks,eigencentrality
7307,NRR,Jos� Aponte de la Torre Airport,Ceiba,Puerto Rico,TJRV,18.2453,-65.643402,38,-4,A,America/Puerto_Rico,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2456,0.000039,0
7309,SPB,Charlotte Amalie Harbor Seaplane Base,Charlotte Amalie,Virgin Islands,VI22,18.3386,-64.940697,0,-4,A,America/St_Thomas,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2457,0.000039,0
7311,ARR,D. Casimiro Szlapelis Airport,Alto Rio Senguer,Argentina,SAVR,-45.013599,-70.812202,2286,-3,N,America/Catamarca,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2458,0.000039,0
7312,JSM,Jose De San Martin Airport,Jose de San Martin,Argentina,SAWS,-44.048599,-70.4589,2407,-3,N,America/Catamarca,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2459,0.000039,0
7313,UYU,Uyuni Airport,Uyuni,Bolivia,SLUY,-20.446301,-66.848396,11136,-4,U,America/La_Paz,airport,OurAirports,1,1,2,6,1,1,2,9,0.203524,0.211062,0,50,red,0,0.000059,0.00012
7317,RBQ,Rurenabaque Airport,Rerrenabaque,Bolivia,SLRQ,-14.4279,-67.496803,676,-4,U,America/La_Paz,airport,OurAirports,2,2,4,6,2,2,4,9,0.203563,0.211326,0,50,red,0,0.000101,0.000183
7320,ABF,Abaiang Airport,Abaiang Atoll,Kiribati,NGAB,1.79861,173.041,0,12,U,Pacific/Tarawa,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2460,0.000039,0
7323,\N,Afobakka Airstrip,Afobaka,Suriname,SMAF,4.998505,-54.992033,80,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2461,0.000039,0
7324,\N,Alalapadu Airstrip,Alapadu,Suriname,SMDU,2.5235,-56.3247,880,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2462,0.000039,0
7325,ABN,Albina Airport,Albina,Suriname,SMBN,5.51272,-54.050098,19,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2463,0.000039,0
7326,\N,Lawa Anapaike Airstrip,Anapaike,Suriname,SMLA,3.411301,-54.028049,373,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2464,0.000039,0
7327,\N,Apetina Airstrip,Apetina,Suriname,SMPT,3.50278,-55.058791,0,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2465,0.000039,0
7330,DRJ,Drietabbetje Airport,Drietabbetje,Suriname,SMDA,4.111359,-54.672766,236,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2466,0.000039,0
7331,\N,Kabalebo Airport,Kabalebo,Suriname,SMKA,4.406,-57.223,535,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2467,0.000039,0
7332,\N,Kayser Airport,Kayser,Suriname,SMKE,3.094343,-56.472702,849,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2468,0.000039,0
7333,\N,Kwamalasoemoetoe Airport,Kwamelasemoetoe,Suriname,SMSM,2.354427,-56.792431,905,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2469,0.000039,0
7334,MOJ,Moengo Airstrip,Moengo,Suriname,SMMO,5.6076,-54.4003,49,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2470,0.000039,0
7335,ICK,Nieuw Nickerie Airport,Nieuw Nickerie,Suriname,SMNI,5.95556,-57.039398,9,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2471,0.000039,0
7336,OEM,Vincent Fayks Airport,Paloemeu,Suriname,SMPA,3.34528,-55.442501,714,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2472,0.000039,0
7337,\N,Sarakreek Airstrip,Sarakreek,Suriname,SMSK,4.319444,-54.966667,223,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2473,0.000039,0
7338,\N,Sipaliwini Airport,Sipaliwini,Suriname,SMSI,2.026438,-56.126412,744,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2474,0.000039,0
7339,SMZ,Stoelmanseiland Airport,Stoelmans Eiland,Suriname,SMST,4.35,-54.416668,187,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2475,0.000039,0
7340,TOT,Totness Airport,Totness,Suriname,SMCO,5.86583,-56.327499,10,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2476,0.000039,0
7341,AGI,Wageningen Airstrip,Wageningen,Suriname,SMWA,5.841128,-56.673328,6,-3,U,America/Paramaribo,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2477,0.000039,0
7343,\N,Codela Airport,Guapiles,Costa Rica,MRCA,10.414,-85.091698,328,-6,U,America/Costa_Rica,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2478,0.000039,0
7346,ORJ,Orinduik Airport,Orinduik,Guyana,SYOR,4.72527,-60.035,1797,-4,U,America/Guyana,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2479,0.000039,0
7347,NAI,Annai Airport,Annai,Guyana,SYAN,3.95944,-59.124199,301,-4,U,America/Guyana,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2480,0.000039,0
7348,\N,Apoteri Airport,Apoteri,Guyana,SYAP,4.01388,-58.605,301,-4,U,America/Guyana,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2481,0.000039,0
7349,IMB,Imbaimadai Airport,Imbaimadai,Guyana,SYIB,5.70811,-60.294201,1646,-4,U,America/Guyana,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2482,0.000039,0
7350,KAR,Kamarang Airport,Kamarang,Guyana,SYKM,5.86534,-60.614201,1601,-4,U,America/Guyana,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2483,0.000039,0
7351,USI,Mabaruma Airport,Mabaruma,Guyana,SYMB,8.2,-59.783298,45,-4,U,America/Guyana,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2484,0.000039,0
7352,MHA,Mahdia Airport,Mahdia,Guyana,SYMD,5.27749,-59.1511,300,-4,U,America/Guyana,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2485,0.000039,0
7353,PJC,Dr Augusto Roberto Fuster International Airport,Pedro Juan Caballero,Paraguay,SGPJ,-22.639999,-55.830002,1873,-4,U,America/Asuncion,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2486,0.000039,0
7354,ACD,Alcides Fern�ndez Airport,Acandi,Colombia,SKAD,8.51667,-77.3,50,-5,U,America/Bogota,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2487,0.000039,0
7355,RVE,Los Colonizadores Airport,Saravena,Colombia,SKSA,6.951868,-71.857179,680,-5,U,America/Bogota,airport,OurAirports,2,2,4,8,2,2,4,8,0.249213,0.263019,0,50,blue,0,0.000095,0.000829
7357,BQJ,Batagay Airport,Batagay,Russia,UEBB,67.648003,134.695007,696,10,N,Asia/Vladivostok,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2488,0.000039,0
7359,VGZ,Villa Garz�n Airport,Villa Garzon,Colombia,SKVG,0.978767,-76.6056,1248,-5,U,America/Bogota,airport,OurAirports,1,1,2,8,1,1,2,8,0.249193,0.262861,0,50,blue,0,0.000055,0.000769
7360,EBG,El Bagre Airport,El Bagre,Colombia,SKEB,7.59647,-74.8089,180,-5,U,America/Bogota,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2489,0.000039,0
7361,CAQ,Juan H White Airport,Caucasia,Colombia,SKCU,7.96847,-75.1985,174,-5,U,America/Bogota,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2490,0.000039,0
7362,COG,Mandinga Airport,Condoto,Colombia,SKCD,5.08333,-76.7,213,-5,U,America/Bogota,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2491,0.000039,0
7363,TLU,Golfo de Morrosquillo Airport,Tolu,Colombia,SKTL,9.50945,-75.5854,16,-5,U,America/Bogota,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2492,0.000039,0
7364,CFB,Cabo Frio Airport,Cabo Frio,Brazil,SBCB,-22.9217,-42.074299,23,-3,S,America/Sao_Paulo,airport,OurAirports,3,3,6,6,3,3,6,9,0.217601,0.228642,0,85,red,0,0.000098,0.000331
